TS,O,H,L,C,VOL
1676864700.0,41221.6,41259.9,41089.55,41194.1,0.0
1676865600.0,41195.6,41240.3,41084.7,41240.3,0.0
1676866500.0,41239.8,41292.6,41174.85,41259.1,0.0
1676867400.0,41257.9,41273.15,41153.8,41177.1,0.0
1676868300.0,41174.8,41235.1,41124.1,41139.1,0.0
1676869200.0,41138.9,41200.3,41066.7,41135.9,0.0
1676870100.0,41133.2,41162.25,41121.9,41141.4,0.0
1676871000.0,41143.9,41146.75,41082.05,41094.2,0.0
1676871900.0,41099.4,41110.2,40972.9,40977.9,0.0
1676872800.0,40977.1,41052.4,40931.5,40969.4,0.0
1676873700.0,40973.6,41049.9,40945.4,40956.9,0.0
1676874600.0,40954.7,41013.45,40900.8,40906.9,0.0
1676875500.0,40904.4,40987.3,40904.45,40935.4,0.0
1676876400.0,40938.3,40955.8,40859.0,40865.1,0.0
1676877300.0,40866.9,40918.95,40843.9,40858.9,0.0
1676878200.0,40857.6,40943.95,40857.55,40917.5,0.0
1676879100.0,40919.4,40949.9,40860.2,40871.2,0.0
1676880000.0,40870.4,40921.9,40775.15,40806.2,0.0
1676880900.0,40804.6,40842.55,40791.4,40814.1,0.0
1676881800.0,40817.4,40843.1,40728.0,40748.8,0.0
1676882700.0,40749.2,40764.4,40580.1,40611.4,0.0
1676883600.0,40611.4,40699.7,40600.4,40686.3,0.0
1676884500.0,40687.4,40742.7,40642.55,40729.9,0.0
1676885400.0,40732.5,40762.05,40639.9,40683.8,0.0
1676886300.0,40689.6,40754.1,40679.35,40707.1,0.0
1676951100.0,40784.9,40795.6,40547.1,40601.15,0.0
1676952000.0,40603.3,40645.05,40508.25,40609.5,0.0
1676952900.0,40609.7,40627.3,40542.35,40606.85,0.0
1676953800.0,40606.15,40803.35,40593.9,40785.3,0.0
1676954700.0,40786.75,40914.85,40784.6,40883.75,0.0
1676955600.0,40883.3,40907.15,40824.25,40864.1,0.0
1676956500.0,40864.15,40901.3,40837.15,40858.4,0.0
1676957400.0,40861.3,40901.9,40819.6,40877.35,0.0
1676958300.0,40881.25,40946.2,40872.65,40911.2,0.0
1676959200.0,40908.65,40916.0,40796.45,40806.5,0.0
1676960100.0,40801.45,40891.0,40793.5,40888.4,0.0
1676961000.0,40883.95,40908.15,40697.15,40765.9,0.0
1676961900.0,40758.45,40769.3,40639.15,40643.65,0.0
1676962800.0,40642.85,40662.35,40604.55,40638.95,0.0
1676963700.0,40638.15,40701.3,40622.1,40660.4,0.0
1676964600.0,40659.65,40700.95,40599.75,40679.85,0.0
1676965500.0,40688.55,40714.95,40648.2,40696.1,0.0
1676966400.0,40692.55,40699.25,40639.25,40678.95,0.0
1676967300.0,40675.35,40764.55,40670.95,40742.7,0.0
