TS,O,H,L,C,VOL
1676951100.0,2662.0,2662.0,2649.2,2659.0,103727.0
1676951400.0,2659.0,2667.55,2659.0,2663.75,79501.0
1676951700.0,2663.75,2668.85,2663.7,2666.5,22449.0
1676952000.0,2667.0,2668.95,2665.0,2665.25,18661.0
1676952300.0,2665.15,2665.75,2661.05,2663.75,24699.0
1676952600.0,2663.75,2681.1,2663.6,2674.05,237512.0
1676952900.0,2674.4,2674.9,2661.95,2665.3,215450.0
1676953200.0,2665.3,2669.05,2664.1,2665.7,14631.0
1676953500.0,2664.55,2667.45,2664.0,2666.6,22624.0
1676953800.0,2666.6,2676.9,2666.05,2675.25,30484.0
1676954100.0,2675.25,2678.95,2673.0,2674.25,18620.0
1676954400.0,2674.6,2681.95,2674.35,2681.95,16114.0
1676954700.0,2681.95,2684.5,2681.05,2681.4,24052.0
1676955000.0,2681.4,2687.0,2681.4,2686.75,17606.0
1676955300.0,2686.75,2688.8,2686.5,2688.7,14252.0
1676955600.0,2688.65,2689.9,2687.55,2688.1,17937.0
1676955900.0,2688.0,2688.0,2680.6,2681.75,14944.0
1676956200.0,2681.75,2683.2,2679.65,2681.6,47453.0
1676956500.0,2681.65,2683.75,2680.95,2683.5,19501.0
1676956800.0,2683.5,2683.7,2678.65,2679.75,55639.0
1676957100.0,2679.75,2680.5,2677.15,2680.05,25040.0
1676957400.0,2680.05,2680.6,2677.25,2677.95,18145.0
1676957700.0,2677.5,2681.35,2676.15,2676.3,29314.0
1676958000.0,2676.3,2684.3,2676.3,2683.75,41594.0
1676958300.0,2683.75,2686.5,2681.5,2681.95,46875.0
1676958600.0,2681.7,2684.4,2681.0,2682.05,26452.0
1676958900.0,2682.1,2683.7,2681.15,2682.6,20000.0
1676959200.0,2682.6,2682.75,2678.0,2679.7,29982.0
1676959500.0,2679.05,2679.5,2676.65,2677.35,6600.0
1676959800.0,2677.35,2677.4,2667.65,2669.05,45865.0
1676960100.0,2669.05,2671.85,2667.1,2668.1,60508.0
1676960400.0,2668.1,2671.1,2668.1,2669.7,30573.0
1676960700.0,2669.7,2670.0,2667.5,2669.65,132100.0
1676961000.0,2669.65,2670.0,2663.75,2663.9,35482.0
1676961300.0,2663.6,2665.7,2660.65,2663.65,73569.0
1676961600.0,2663.9,2667.3,2663.3,2667.0,24492.0
1676961900.0,2666.75,2667.0,2664.1,2664.1,18741.0
1676962200.0,2664.1,2664.8,2661.1,2661.1,12719.0
1676962500.0,2661.05,2665.3,2661.0,2662.0,19002.0
1676962800.0,2662.0,2662.2,2660.0,2660.05,40487.0
1676963100.0,2660.0,2661.1,2656.85,2660.05,26111.0
1676963400.0,2660.0,2661.1,2658.3,2659.55,35595.0
1676963700.0,2659.55,2660.9,2659.0,2660.5,21976.0
1676964000.0,2660.5,2661.0,2660.0,2660.75,22055.0
1676964300.0,2660.65,2661.0,2654.25,2660.0,57755.0
1676964600.0,2660.0,2661.0,2659.0,2660.0,27898.0
1676964900.0,2660.05,2662.05,2660.0,2661.15,24917.0
1676965200.0,2661.15,2666.0,2660.0,2665.0,33536.0
1676965500.0,2665.05,2665.9,2663.0,2664.05,23076.0
1676965800.0,2664.0,2665.95,2664.0,2665.1,7803.0
1676966100.0,2665.1,2665.7,2663.35,2665.0,15937.0
1676966400.0,2665.0,2665.3,2664.0,2664.4,12504.0
1676966700.0,2664.2,2665.15,2663.7,2665.0,18194.0
1676967000.0,2665.0,2669.05,2664.35,2667.2,24581.0
1676967300.0,2667.2,2670.1,2666.0,2666.0,22339.0
1676967600.0,2666.0,2667.95,2665.25,2667.35,23975.0
1676967900.0,2667.4,2670.3,2667.4,2668.65,14281.0
1676968200.0,2668.1,2670.8,2666.95,2670.25,17811.0
1676968500.0,2670.25,2670.8,2669.0,2669.0,14168.0
