TS,O,H,L,C,VOL
1676951100.0,1110.0,1112.15,1105.35,1107.8,41598.0
1676951400.0,1108.1,1109.3,1106.0,1107.0,19602.0
1676951700.0,1107.0,1108.8,1106.05,1106.5,10908.0
1676952000.0,1106.5,1108.95,1102.75,1103.9,27481.0
1676952300.0,1103.9,1104.0,1100.5,1101.5,31135.0
1676952600.0,1101.5,1103.9,1100.9,1103.1,44911.0
1676952900.0,1103.1,1103.95,1100.7,1100.7,18992.0
1676953200.0,1100.7,1102.0,1098.95,1101.35,48068.0
1676953500.0,1101.3,1102.25,1098.5,1099.05,28322.0
1676953800.0,1099.65,1106.5,1098.55,1105.6,81244.0
1676954100.0,1106.2,1107.0,1102.8,1104.15,50615.0
1676954400.0,1104.15,1106.0,1102.75,1103.15,22499.0
1676954700.0,1103.15,1106.0,1103.15,1105.25,25200.0
1676955000.0,1105.2,1108.25,1105.2,1107.75,52720.0
1676955300.0,1107.7,1108.25,1105.45,1106.2,17477.0
1676955600.0,1106.05,1107.5,1105.7,1107.1,11061.0
1676955900.0,1106.8,1107.5,1105.4,1105.55,11394.0
1676956200.0,1105.55,1106.9,1105.0,1105.0,11746.0
1676956500.0,1105.0,1106.75,1105.0,1105.8,8651.0
1676956800.0,1105.8,1106.35,1105.55,1105.75,5831.0
1676957100.0,1105.75,1106.0,1105.0,1105.2,24223.0
1676957400.0,1105.2,1105.85,1103.4,1103.4,24942.0
1676957700.0,1103.4,1105.2,1103.2,1103.5,9378.0
1676958000.0,1103.5,1104.9,1103.5,1104.5,6808.0
1676958300.0,1104.5,1106.0,1104.2,1104.5,13762.0
1676958600.0,1104.2,1105.6,1104.0,1105.15,13067.0
1676958900.0,1104.95,1106.35,1104.25,1104.55,13541.0
1676959200.0,1104.5,1106.7,1104.1,1105.55,12028.0
1676959500.0,1105.55,1106.9,1105.55,1105.75,11897.0
1676959800.0,1105.75,1106.05,1104.7,1105.0,12912.0
1676960100.0,1105.0,1106.6,1104.95,1105.75,16744.0
1676960400.0,1105.65,1106.5,1105.0,1105.55,15367.0
1676960700.0,1105.55,1106.95,1105.2,1106.65,16082.0
1676961000.0,1106.7,1107.0,1105.5,1105.65,14392.0
1676961300.0,1105.65,1106.0,1105.0,1105.0,21356.0
1676961600.0,1105.0,1105.5,1104.75,1105.35,17508.0
1676961900.0,1105.0,1105.3,1101.3,1101.9,24373.0
1676962200.0,1101.65,1101.9,1098.85,1099.3,27734.0
1676962500.0,1099.3,1099.45,1098.05,1099.0,29937.0
1676962800.0,1099.0,1099.4,1098.0,1098.3,19647.0
1676963100.0,1098.3,1099.05,1096.4,1096.5,25771.0
1676963400.0,1096.45,1098.9,1096.4,1097.65,16874.0
1676963700.0,1097.65,1098.7,1097.5,1098.15,15890.0
1676964000.0,1098.15,1099.9,1097.0,1099.6,16731.0
1676964300.0,1099.55,1100.8,1099.1,1100.1,18137.0
1676964600.0,1100.05,1100.45,1098.0,1098.55,24371.0
1676964900.0,1098.45,1099.25,1098.0,1098.6,13103.0
1676965200.0,1098.6,1100.35,1098.25,1100.3,15227.0
1676965500.0,1100.3,1102.75,1099.65,1100.15,22094.0
1676965800.0,1100.15,1100.6,1099.6,1100.5,11277.0
1676966100.0,1100.5,1100.5,1099.15,1099.5,12229.0
1676966400.0,1099.55,1101.85,1099.45,1101.2,16512.0
1676966700.0,1101.2,1101.65,1100.8,1101.2,12844.0
1676967000.0,1101.2,1101.45,1100.0,1100.6,14469.0
1676967300.0,1100.6,1102.7,1099.5,1099.5,24784.0
1676967600.0,1099.5,1100.0,1098.55,1099.3,22138.0
1676967900.0,1099.25,1100.2,1099.0,1099.9,16400.0
1676968200.0,1099.9,1101.7,1099.65,1101.0,27995.0
1676968500.0,1101.0,1101.5,1100.0,1100.15,13712.0
