TS,O,H,L,C,VOL
1676951100.0,8694.0,8720.0,8653.0,8671.0,13354.0
1676951400.0,8674.3,8676.0,8651.0,8651.0,6188.0
1676951700.0,8651.0,8665.0,8638.45,8665.0,7278.0
1676952000.0,8665.0,8676.45,8657.9,8670.75,5508.0
1676952300.0,8670.35,8672.05,8645.0,8648.1,12330.0
1676952600.0,8648.1,8670.0,8645.1,8665.6,3767.0
1676952900.0,8665.6,8666.8,8652.75,8657.65,2850.0
1676953200.0,8657.65,8670.3,8657.1,8667.6,1806.0
1676953500.0,8667.6,8669.0,8658.7,8667.6,2326.0
1676953800.0,8667.6,8679.9,8665.3,8679.0,3784.0
1676954100.0,8678.95,8688.65,8670.0,8671.25,6694.0
1676954400.0,8671.25,8680.0,8671.05,8677.0,1542.0
1676954700.0,8678.0,8689.55,8675.0,8687.5,2495.0
1676955000.0,8687.5,8687.5,8676.05,8684.7,3458.0
1676955300.0,8684.7,8700.0,8682.55,8689.15,5834.0
1676955600.0,8689.15,8696.55,8688.6,8691.1,1793.0
1676955900.0,8691.1,8695.0,8690.0,8690.0,2703.0
1676956200.0,8690.0,8694.4,8689.85,8692.15,5619.0
1676956500.0,8692.15,8698.0,8690.85,8692.9,1616.0
1676956800.0,8692.45,8702.5,8689.0,8695.45,4477.0
1676957100.0,8695.45,8700.4,8690.0,8692.25,3375.0
1676957400.0,8692.25,8700.0,8692.25,8693.2,1860.0
1676957700.0,8693.2,8708.0,8675.05,8679.5,15269.0
1676958000.0,8679.5,8680.6,8660.0,8668.5,5788.0
1676958300.0,8668.55,8672.45,8662.25,8667.05,1790.0
1676958600.0,8666.6,8667.0,8659.95,8660.05,3741.0
1676958900.0,8661.0,8664.8,8656.85,8660.0,2760.0
1676959200.0,8660.0,8662.3,8658.0,8660.0,2769.0
1676959500.0,8660.0,8664.15,8655.0,8659.4,2408.0
1676959800.0,8659.4,8660.0,8652.65,8659.8,4009.0
1676960100.0,8658.65,8660.0,8654.8,8659.95,2124.0
1676960400.0,8659.95,8664.55,8654.45,8660.0,6689.0
1676960700.0,8660.0,8664.0,8653.9,8663.95,36678.0
1676961000.0,8663.95,8669.0,8657.75,8660.6,1814.0
1676961300.0,8660.6,8662.9,8658.75,8662.1,1258.0
1676961600.0,8662.9,8662.9,8656.15,8659.85,1807.0
1676961900.0,8659.9,8664.9,8657.0,8658.85,3770.0
1676962200.0,8660.0,8660.0,8650.1,8654.25,2719.0
1676962500.0,8654.25,8660.0,8650.0,8657.4,4790.0
1676962800.0,8655.4,8658.0,8651.3,8651.3,1894.0
1676963100.0,8654.5,8655.45,8650.0,8654.2,3682.0
1676963400.0,8650.0,8657.85,8650.0,8655.0,3349.0
1676963700.0,8655.0,8658.0,8650.0,8655.6,3531.0
1676964000.0,8655.6,8657.65,8651.05,8653.15,2110.0
1676964300.0,8653.15,8655.5,8650.85,8654.0,1492.0
1676964600.0,8654.5,8655.0,8650.0,8654.95,1506.0
1676964900.0,8654.95,8655.0,8644.0,8644.0,2959.0
1676965200.0,8647.0,8651.8,8642.6,8651.7,2477.0
1676965500.0,8652.0,8655.0,8645.25,8645.95,2502.0
1676965800.0,8645.5,8651.0,8645.0,8650.3,2725.0
1676966100.0,8646.4,8652.0,8645.0,8651.8,1956.0
1676966400.0,8650.0,8652.0,8647.85,8651.8,2208.0
1676966700.0,8650.4,8655.0,8650.0,8652.85,2369.0
1676967000.0,8651.0,8655.0,8648.3,8653.95,5503.0
1676967300.0,8652.0,8658.0,8651.3,8652.6,3537.0
1676967600.0,8654.1,8658.0,8652.55,8657.95,2991.0
1676967900.0,8657.95,8658.0,8653.3,8656.95,3398.0
1676968200.0,8655.05,8661.9,8653.35,8659.8,9116.0
1676968500.0,8657.0,8660.0,8655.6,8657.55,1349.0
