TS,O,H,L,C,VOL
1676951100.0,17905.8,17905.85,17858.85,17870.0,0.0
1676951400.0,17871.25,17885.3,17860.85,17873.1,0.0
1676951700.0,17872.55,17890.45,17867.4,17883.1,0.0
1676952000.0,17882.55,17897.75,17880.15,17884.65,0.0
1676952300.0,17883.45,17884.4,17845.0,17848.8,0.0
1676952600.0,17848.9,17880.3,17837.95,17870.85,0.0
1676952900.0,17871.7,17875.5,17849.5,17858.3,0.0
1676953200.0,17858.3,17868.55,17852.85,17855.25,0.0
1676953500.0,17855.0,17860.2,17847.85,17860.2,0.0
1676953800.0,17860.4,17895.0,17858.05,17889.0,0.0
1676954100.0,17889.35,17904.2,17886.1,17891.1,0.0
1676954400.0,17891.2,17907.2,17890.3,17904.05,0.0
1676954700.0,17904.8,17914.1,17904.15,17908.25,0.0
1676955000.0,17907.35,17919.15,17904.5,17917.6,0.0
1676955300.0,17916.9,17922.0,17912.8,17918.0,0.0
1676955600.0,17917.95,17924.9,17915.45,17919.6,0.0
1676955900.0,17918.8,17919.4,17899.05,17900.3,0.0
1676956200.0,17901.05,17909.75,17900.05,17904.5,0.0
1676956500.0,17904.6,17911.8,17899.9,17911.65,0.0
1676956800.0,17910.8,17911.55,17901.35,17904.65,0.0
1676957100.0,17904.5,17905.35,17892.6,17898.35,0.0
1676957400.0,17898.15,17903.65,17893.2,17895.1,0.0
1676957700.0,17895.85,17914.65,17892.55,17899.7,0.0
1676958000.0,17899.3,17911.75,17899.3,17908.2,0.0
1676958300.0,17908.45,17916.65,17906.2,17906.35,0.0
1676958600.0,17906.0,17915.25,17901.7,17905.3,0.0
1676958900.0,17905.4,17911.85,17903.1,17908.1,0.0
1676959200.0,17908.15,17911.2,17898.75,17901.35,0.0
1676959500.0,17901.0,17901.1,17891.85,17894.5,0.0
1676959800.0,17894.3,17895.05,17870.25,17870.8,0.0
1676960100.0,17870.85,17884.3,17870.85,17878.55,0.0
1676960400.0,17878.8,17882.9,17876.8,17882.7,0.0
1676960700.0,17882.6,17892.15,17875.75,17891.9,0.0
1676961000.0,17891.1,17894.8,17870.4,17871.9,0.0
1676961300.0,17871.85,17872.5,17860.55,17860.9,0.0
1676961600.0,17861.1,17863.75,17851.7,17862.9,0.0
1676961900.0,17862.2,17866.45,17846.95,17849.15,0.0
1676962200.0,17848.6,17850.0,17833.8,17837.1,0.0
1676962500.0,17836.05,17845.6,17829.3,17830.1,0.0
1676962800.0,17829.95,17832.8,17824.0,17828.25,0.0
1676963100.0,17828.1,17828.8,17817.5,17821.2,0.0
1676963400.0,17821.25,17830.85,17820.3,17830.55,0.0
1676963700.0,17830.25,17840.65,17828.9,17836.75,0.0
1676964000.0,17835.65,17844.6,17834.45,17844.55,0.0
1676964300.0,17843.65,17848.6,17835.1,17843.1,0.0
1676964600.0,17842.75,17845.15,17836.5,17843.75,0.0
1676964900.0,17843.55,17844.35,17836.6,17837.0,0.0
1676965200.0,17836.15,17856.85,17835.75,17853.8,0.0
1676965500.0,17855.35,17861.25,17852.75,17853.05,0.0
1676965800.0,17852.75,17856.0,17844.2,17855.55,0.0
1676966100.0,17854.55,17861.65,17847.9,17861.4,0.0
1676966400.0,17860.0,17862.4,17850.05,17854.75,0.0
1676966700.0,17854.7,17870.45,17854.05,17870.45,0.0
1676967000.0,17869.55,17880.0,17869.05,17874.0,0.0
1676967300.0,17873.15,17888.6,17872.2,17878.85,0.0
1676967600.0,17877.5,17882.35,17869.45,17880.05,0.0
1676967900.0,17879.75,17885.9,17879.05,17880.0,0.0
1676968200.0,17881.05,17891.15,17876.95,17886.05,0.0
1676968500.0,17885.2,17888.65,17872.75,17873.75,0.0
