TS,O,H,L,C,VOL
1676951100.0,40784.9,40795.6,40560.6,40576.6,0.0
1676951400.0,40578.8,40632.8,40547.1,40573.35,0.0
1676951700.0,40572.3,40633.75,40567.8,40601.15,0.0
1676952000.0,40603.3,40645.05,40592.0,40601.75,0.0
1676952300.0,40599.75,40605.0,40516.75,40531.4,0.0
1676952600.0,40531.0,40636.25,40508.25,40609.5,0.0
1676952900.0,40609.7,40627.3,40542.35,40582.2,0.0
1676953200.0,40581.1,40607.0,40555.7,40564.2,0.0
1676953500.0,40565.65,40612.0,40561.1,40606.85,0.0
1676953800.0,40606.15,40756.55,40593.9,40736.05,0.0
1676954100.0,40743.95,40764.7,40706.7,40730.5,0.0
1676954400.0,40731.3,40803.35,40725.0,40785.3,0.0
1676954700.0,40786.75,40849.5,40784.6,40830.05,0.0
1676955000.0,40826.65,40891.7,40825.45,40888.1,0.0
1676955300.0,40887.1,40914.85,40862.1,40883.75,0.0
1676955600.0,40883.3,40907.15,40855.75,40888.5,0.0
1676955900.0,40886.9,40888.6,40824.25,40828.95,0.0
1676956200.0,40830.75,40883.2,40826.55,40864.1,0.0
1676956500.0,40864.15,40901.3,40857.95,40890.1,0.0
1676956800.0,40890.25,40894.65,40865.8,40878.4,0.0
1676957100.0,40876.85,40878.7,40837.15,40858.4,0.0
1676957400.0,40861.3,40877.7,40823.9,40837.15,0.0
1676957700.0,40835.65,40901.65,40819.6,40839.7,0.0
1676958000.0,40836.65,40901.9,40836.65,40877.35,0.0
1676958300.0,40881.25,40935.45,40872.65,40879.25,0.0
1676958600.0,40880.35,40946.2,40877.45,40891.4,0.0
1676958900.0,40890.75,40919.95,40885.45,40911.2,0.0
1676959200.0,40908.65,40916.0,40872.85,40890.6,0.0
1676959500.0,40886.75,40903.0,40870.3,40881.75,0.0
1676959800.0,40881.0,40886.95,40796.45,40806.5,0.0
1676960100.0,40801.45,40853.7,40793.5,40834.35,0.0
1676960400.0,40834.65,40866.1,40830.2,40857.35,0.0
1676960700.0,40857.55,40891.0,40816.05,40888.4,0.0
1676961000.0,40883.95,40908.15,40800.9,40803.9,0.0
1676961300.0,40804.4,40811.3,40743.45,40743.45,0.0
1676961600.0,40745.8,40771.65,40697.15,40765.9,0.0
1676961900.0,40758.45,40769.3,40665.6,40676.65,0.0
1676962200.0,40676.8,40689.9,40649.85,40666.1,0.0
1676962500.0,40663.3,40711.5,40639.15,40643.65,0.0
1676962800.0,40642.85,40662.35,40625.95,40638.9,0.0
1676963100.0,40639.1,40644.8,40604.55,40609.05,0.0
1676963400.0,40614.65,40648.75,40609.15,40638.95,0.0
1676963700.0,40638.15,40668.35,40622.1,40646.75,0.0
1676964000.0,40643.55,40693.15,40634.75,40693.15,0.0
1676964300.0,40688.3,40701.3,40624.35,40660.4,0.0
1676964600.0,40659.65,40661.05,40627.15,40645.3,0.0
1676964900.0,40645.6,40651.2,40605.15,40605.9,0.0
1676965200.0,40602.05,40700.95,40599.75,40679.85,0.0
1676965500.0,40688.55,40714.95,40665.5,40666.65,0.0
1676965800.0,40666.1,40673.95,40648.2,40661.9,0.0
1676966100.0,40659.55,40703.55,40648.5,40696.1,0.0
1676966400.0,40692.55,40692.55,40639.25,40642.35,0.0
1676966700.0,40641.85,40687.05,40640.45,40672.9,0.0
1676967000.0,40669.6,40699.25,40655.25,40678.95,0.0
1676967300.0,40675.35,40757.35,40670.95,40705.85,0.0
1676967600.0,40704.05,40749.2,40682.15,40735.35,0.0
1676967900.0,40737.6,40764.55,40729.35,40742.7,0.0
1676968200.0,40746.6,40782.7,40732.35,40769.1,0.0
1676968500.0,40768.4,40779.35,40738.45,40743.4,0.0
