TS,O,H,L,C,VOL
1676951100.0,527.1,527.1,524.0,525.0,517313.0
1676951400.0,525.1,526.0,524.5,525.2,220229.0
1676951700.0,525.2,525.95,525.05,525.95,193033.0
1676952000.0,525.95,526.95,525.75,526.3,194132.0
1676952300.0,526.5,526.5,523.55,524.0,249433.0
1676952600.0,522.95,524.45,522.4,524.3,305497.0
1676952900.0,524.35,524.85,523.4,523.75,209447.0
1676953200.0,523.9,524.5,523.25,524.05,160511.0
1676953500.0,524.15,524.5,523.65,524.5,84758.0
1676953800.0,524.5,526.2,524.25,525.85,289554.0
1676954100.0,525.75,526.7,525.75,526.5,201552.0
1676954400.0,526.5,528.5,526.3,527.65,328255.0
1676954700.0,527.65,528.95,527.65,528.1,239187.0
1676955000.0,528.35,528.5,527.8,528.5,127078.0
1676955300.0,528.35,528.9,527.8,527.9,139490.0
1676955600.0,527.9,528.15,527.3,527.9,85003.0
1676955900.0,527.9,528.0,527.1,527.45,79398.0
1676956200.0,527.35,528.0,527.3,527.55,58490.0
1676956500.0,527.55,528.05,527.2,527.85,61295.0
1676956800.0,527.85,528.5,527.75,528.0,84161.0
1676957100.0,528.0,528.2,527.35,527.65,64397.0
1676957400.0,527.75,527.85,527.15,527.5,73865.0
1676957700.0,527.6,527.75,526.8,527.05,136106.0
1676958000.0,527.05,528.0,527.05,527.95,88302.0
1676958300.0,528.0,528.5,527.75,528.2,69530.0
1676958600.0,528.25,528.3,528.0,528.25,60287.0
1676958900.0,528.3,528.4,527.8,528.0,47166.0
1676959200.0,527.95,528.2,527.3,527.5,70174.0
1676959500.0,527.5,528.5,527.35,528.4,130370.0
1676959800.0,528.3,528.45,527.25,527.35,71417.0
1676960100.0,527.15,527.45,527.0,527.1,78780.0
1676960400.0,527.2,527.95,527.1,527.8,50188.0
1676960700.0,527.8,528.3,527.75,528.15,71600.0
1676961000.0,528.05,528.85,527.7,527.7,130120.0
1676961300.0,527.8,527.9,526.3,526.55,147038.0
1676961600.0,526.5,526.7,525.05,525.8,297325.0
1676961900.0,525.95,525.95,524.1,524.25,203446.0
1676962200.0,524.2,524.6,524.05,524.3,130462.0
1676962500.0,524.3,524.8,524.0,524.4,131596.0
1676962800.0,524.4,524.45,524.0,524.05,97054.0
1676963100.0,524.05,524.4,523.8,523.8,110756.0
1676963400.0,523.95,524.0,523.75,523.85,131019.0
1676963700.0,523.85,524.0,523.25,523.85,135042.0
1676964000.0,523.9,524.9,523.65,524.45,103249.0
1676964300.0,524.4,524.7,524.25,524.45,82904.0
1676964600.0,524.65,524.65,524.05,524.15,80947.0
1676964900.0,524.35,524.55,524.1,524.1,59031.0
1676965200.0,524.25,525.4,524.0,525.15,97732.0
1676965500.0,525.15,525.5,525.0,525.1,88745.0
1676965800.0,525.1,525.2,524.45,524.6,75792.0
1676966100.0,524.6,524.9,524.35,524.4,84608.0
1676966400.0,524.4,525.2,524.15,524.8,69911.0
1676966700.0,524.8,525.9,524.75,525.4,106569.0
1676967000.0,525.45,525.95,525.3,525.95,80496.0
1676967300.0,525.9,526.7,525.7,525.75,149720.0
1676967600.0,525.7,525.9,525.05,525.5,82169.0
1676967900.0,525.6,525.9,525.3,525.75,60771.0
1676968200.0,525.7,526.5,525.7,526.35,94437.0
1676968500.0,526.3,526.5,526.0,526.0,51761.0
