TS,O,H,L,C,VOL
1676951100.0,990.0,990.4,980.5,989.4,43620.0
1676951400.0,989.4,990.1,987.95,989.2,14041.0
1676951700.0,989.35,989.5,986.75,987.45,13923.0
1676952000.0,987.45,990.8,987.4,989.0,22625.0
1676952300.0,989.0,989.6,986.25,987.25,12774.0
1676952600.0,987.25,989.15,986.55,987.15,11787.0
1676952900.0,987.2,987.95,986.35,986.8,10139.0
1676953200.0,986.7,986.75,984.5,984.95,13086.0
1676953500.0,984.5,984.9,983.15,984.4,12370.0
1676953800.0,984.4,984.95,983.4,984.95,10866.0
1676954100.0,984.7,986.45,984.7,985.4,4927.0
1676954400.0,985.4,986.2,985.0,985.35,5996.0
1676954700.0,985.35,986.95,984.9,984.9,7109.0
1676955000.0,984.9,985.6,984.0,984.0,5738.0
1676955300.0,984.0,984.15,982.25,982.75,11887.0
1676955600.0,982.75,983.95,982.2,982.4,8917.0
1676955900.0,982.4,982.65,981.6,981.7,9381.0
1676956200.0,981.65,981.95,980.6,980.95,9801.0
1676956500.0,980.95,981.0,978.75,979.4,23081.0
1676956800.0,979.4,979.4,977.1,977.85,20618.0
1676957100.0,977.85,978.25,976.1,976.95,16898.0
1676957400.0,977.35,979.15,976.7,978.5,13715.0
1676957700.0,978.15,979.4,978.15,979.1,6542.0
1676958000.0,979.1,980.5,978.75,978.95,10781.0
1676958300.0,978.95,980.5,978.95,979.75,5968.0
1676958600.0,979.75,980.0,979.0,979.2,2274.0
1676958900.0,979.2,979.4,978.15,978.95,6538.0
1676959200.0,978.95,978.95,978.3,978.75,2642.0
1676959500.0,978.75,979.35,978.55,978.8,3096.0
1676959800.0,978.8,979.2,978.0,978.05,6498.0
1676960100.0,978.1,978.8,978.0,978.05,4859.0
1676960400.0,978.2,978.9,978.05,978.4,7124.0
1676960700.0,978.4,978.45,977.5,977.5,12941.0
1676961000.0,977.5,977.75,977.1,977.5,14087.0
1676961300.0,977.5,977.5,976.75,976.75,21527.0
1676961600.0,977.1,977.2,976.5,976.8,9445.0
1676961900.0,976.7,977.1,976.15,976.25,19251.0
1676962200.0,976.2,976.25,975.1,975.15,23519.0
1676962500.0,975.05,976.0,974.6,975.25,51854.0
1676962800.0,975.15,976.0,975.0,975.6,11459.0
1676963100.0,975.6,976.0,975.0,975.05,10009.0
1676963400.0,975.0,976.0,975.0,975.5,11735.0
1676963700.0,975.5,975.6,974.05,974.45,60470.0
1676964000.0,974.45,975.05,974.15,974.2,68875.0
1676964300.0,974.1,974.8,973.8,974.45,15367.0
1676964600.0,974.25,975.1,974.15,974.45,23616.0
1676964900.0,974.45,976.0,974.35,974.7,15329.0
1676965200.0,974.55,975.25,974.5,975.05,20389.0
1676965500.0,975.05,975.25,974.5,974.7,9211.0
1676965800.0,974.55,975.5,974.45,975.15,8231.0
1676966100.0,975.15,975.45,973.9,974.55,38688.0
1676966400.0,974.45,975.45,974.45,975.0,181658.0
1676966700.0,974.95,975.5,974.5,974.9,120551.0
1676967000.0,974.85,976.15,974.4,974.8,33731.0
1676967300.0,974.8,975.0,974.75,974.95,27658.0
1676967600.0,974.95,975.0,974.6,974.85,30301.0
1676967900.0,974.85,975.0,974.55,975.0,15036.0
1676968200.0,974.85,975.0,974.6,974.7,26293.0
1676968500.0,974.7,975.0,973.15,973.15,12461.0
