TS,O,H,L,C,VOL
1676951100.0,3494.0,3505.65,3490.05,3503.85,36756.0
1676951400.0,3502.5,3508.9,3500.15,3504.95,28104.0
1676951700.0,3504.0,3504.95,3500.0,3502.5,11294.0
1676952000.0,3502.5,3507.35,3501.1,3502.0,17468.0
1676952300.0,3502.0,3502.45,3492.65,3492.65,17937.0
1676952600.0,3492.65,3499.5,3490.0,3496.5,12072.0
1676952900.0,3496.5,3497.5,3489.15,3489.15,11670.0
1676953200.0,3489.05,3491.6,3485.2,3485.95,14551.0
1676953500.0,3486.0,3486.0,3481.0,3484.0,15484.0
1676953800.0,3484.4,3492.7,3484.0,3491.15,10068.0
1676954100.0,3491.15,3499.2,3490.2,3498.0,12049.0
1676954400.0,3498.0,3499.0,3490.8,3493.85,7773.0
1676954700.0,3494.4,3495.0,3488.25,3488.25,5431.0
1676955000.0,3488.25,3492.5,3487.05,3489.0,5310.0
1676955300.0,3489.65,3490.35,3486.0,3486.0,5634.0
1676955600.0,3486.0,3487.05,3483.25,3483.95,7926.0
1676955900.0,3483.95,3484.9,3480.0,3481.9,8360.0
1676956200.0,3481.9,3483.55,3475.55,3477.05,14843.0
1676956500.0,3477.4,3482.35,3475.0,3477.0,20368.0
1676956800.0,3476.6,3478.9,3475.05,3477.1,11965.0
1676957100.0,3478.15,3478.15,3475.05,3475.6,6143.0
1676957400.0,3475.6,3476.95,3473.8,3475.25,10830.0
1676957700.0,3476.3,3492.0,3475.85,3488.95,26838.0
1676958000.0,3488.8,3488.95,3483.6,3483.95,8698.0
1676958300.0,3484.55,3487.0,3483.95,3486.2,37207.0
1676958600.0,3486.2,3486.55,3483.05,3485.05,5711.0
1676958900.0,3485.05,3487.9,3485.05,3486.8,5496.0
1676959200.0,3486.45,3488.8,3483.8,3485.0,5878.0
1676959500.0,3485.0,3486.05,3480.0,3480.75,5221.0
1676959800.0,3480.75,3482.55,3477.15,3479.0,5741.0
1676960100.0,3479.0,3481.4,3476.0,3476.25,7397.0
1676960400.0,3477.1,3478.0,3475.05,3476.4,5116.0
1676960700.0,3476.2,3480.7,3475.25,3479.35,7787.0
1676961000.0,3479.95,3480.45,3475.3,3476.45,7637.0
1676961300.0,3476.7,3477.5,3475.0,3475.3,9356.0
1676961600.0,3475.3,3475.55,3471.0,3471.3,13081.0
1676961900.0,3471.35,3475.0,3470.5,3472.3,12260.0
1676962200.0,3472.3,3473.2,3467.8,3467.8,12614.0
1676962500.0,3467.8,3472.0,3466.55,3470.35,10259.0
1676962800.0,3470.45,3470.65,3464.0,3467.8,39360.0
1676963100.0,3467.5,3468.65,3465.0,3465.0,8716.0
1676963400.0,3465.4,3467.9,3465.4,3465.55,8160.0
1676963700.0,3465.55,3470.85,3465.5,3466.55,33054.0
1676964000.0,3466.45,3468.1,3463.15,3463.3,14385.0
1676964300.0,3463.3,3465.0,3462.0,3464.1,9238.0
1676964600.0,3464.1,3465.05,3463.0,3465.0,13615.0
1676964900.0,3464.95,3469.9,3464.45,3466.9,12793.0
1676965200.0,3467.0,3470.0,3466.05,3469.05,5993.0
1676965500.0,3469.05,3473.5,3469.05,3470.7,8418.0
1676965800.0,3470.7,3470.7,3467.75,3468.0,6076.0
1676966100.0,3467.65,3470.0,3465.75,3469.95,6673.0
1676966400.0,3469.9,3471.7,3467.05,3468.65,8999.0
1676966700.0,3468.95,3473.0,3467.9,3473.0,9011.0
1676967000.0,3473.0,3476.5,3472.95,3474.3,10230.0
1676967300.0,3474.35,3476.0,3472.0,3472.0,8821.0
1676967600.0,3473.3,3474.05,3470.1,3471.05,10945.0
1676967900.0,3471.0,3472.95,3470.1,3471.35,8306.0
1676968200.0,3470.1,3472.25,3466.3,3467.45,10162.0
1676968500.0,3467.45,3470.5,3466.75,3468.05,6931.0
