TS,O,H,L,C,VOL
1676951100.0,761.75,764.1,758.25,761.75,63761.0
1676951400.0,761.7,762.0,758.75,759.4,26802.0
1676951700.0,759.85,760.0,758.6,759.4,8738.0
1676952000.0,759.8,760.0,758.65,758.65,15526.0
1676952300.0,758.6,758.65,756.1,756.75,16937.0
1676952600.0,756.95,760.0,756.95,759.5,22995.0
1676952900.0,759.15,760.0,758.25,759.55,18644.0
1676953200.0,759.55,760.0,757.2,757.6,18354.0
1676953500.0,757.8,758.5,757.0,757.35,19694.0
1676953800.0,757.75,759.5,757.75,759.3,6131.0
1676954100.0,759.55,759.95,758.9,759.05,7976.0
1676954400.0,758.9,759.3,758.0,758.25,13168.0
1676954700.0,758.85,759.3,758.55,758.55,7030.0
1676955000.0,758.65,759.0,758.1,758.8,4981.0
1676955300.0,759.0,759.2,758.7,759.05,5772.0
1676955600.0,759.05,759.2,758.15,758.2,4200.0
1676955900.0,758.2,758.65,757.05,757.5,19401.0
1676956200.0,757.5,758.35,757.5,758.0,3842.0
1676956500.0,758.0,758.2,757.8,758.15,4521.0
1676956800.0,758.15,758.65,757.95,758.05,2812.0
1676957100.0,758.05,760.0,758.05,758.85,29592.0
1676957400.0,759.0,759.0,757.8,757.8,36364.0
1676957700.0,757.8,758.05,755.8,755.8,38894.0
1676958000.0,755.65,756.0,754.25,755.0,61416.0
1676958300.0,755.0,755.25,754.8,755.0,44885.0
1676958600.0,755.0,755.0,754.4,754.4,16862.0
1676958900.0,754.6,755.0,754.05,754.35,12082.0
1676959200.0,754.35,755.0,754.1,754.3,6442.0
1676959500.0,754.3,754.95,754.3,754.45,7208.0
1676959800.0,754.65,755.0,754.45,754.7,25484.0
1676960100.0,754.7,755.0,754.2,754.6,9845.0
1676960400.0,754.55,755.0,754.55,755.0,22005.0
1676960700.0,755.0,755.0,754.8,755.0,14019.0
1676961000.0,755.0,755.0,754.55,754.95,14454.0
1676961300.0,754.95,755.0,753.5,753.8,82400.0
1676961600.0,754.0,754.45,753.5,753.85,14550.0
1676961900.0,753.85,754.0,753.5,753.9,9316.0
1676962200.0,753.55,754.0,752.9,753.6,17176.0
1676962500.0,753.6,753.85,753.2,753.55,5772.0
1676962800.0,753.55,754.0,753.4,753.75,2453.0
1676963100.0,753.75,753.95,753.5,753.6,3596.0
1676963400.0,753.5,754.0,753.5,753.95,12152.0
1676963700.0,753.95,754.0,753.6,753.75,26952.0
1676964000.0,753.8,753.8,753.55,753.65,4737.0
1676964300.0,753.55,753.8,753.45,753.75,10721.0
1676964600.0,753.75,753.75,752.85,753.45,9274.0
1676964900.0,753.45,753.75,753.2,753.55,7261.0
1676965200.0,753.5,753.75,753.25,753.55,6062.0
1676965500.0,753.4,753.75,753.05,753.4,5159.0
1676965800.0,753.55,753.75,752.5,753.65,13343.0
1676966100.0,753.65,753.75,753.05,753.65,7053.0
1676966400.0,753.65,753.75,753.0,753.55,9705.0
1676966700.0,753.55,753.75,753.3,753.75,9020.0
1676967000.0,753.75,753.75,753.6,753.7,12693.0
1676967300.0,753.7,753.7,753.45,753.5,30661.0
1676967600.0,753.5,754.0,753.45,754.0,32740.0
1676967900.0,753.4,753.85,753.4,753.7,58559.0
1676968200.0,753.7,754.0,753.5,753.5,65260.0
1676968500.0,753.5,754.0,753.5,753.5,18065.0
